Num_solicitud;IUM_Medicamento;id_importador;fecha_autorizacion;Tipo_solicitud
70;1E1032981011100;61;1/06/2020;PACIENTE ESPECIFICO
71;1A1000141000100;13;12/10/2020;PACIENTE ESPECIFICO
72;1A1001701000100;13;7/04/2021;PACIENTE ESPECIFICO
73;1H1027911002100;88;23/06/2021;PACIENTE ESPECIFICO
74;1P1012181004100;64;27/01/2022;PACIENTE ESPECIFICO
75;1A1001611000100;64;14/05/2021;PACIENTE ESPECIFICO
76;1E1032981014101;61;16/05/2022;PACIENTE ESPECIFICO
77;1E1032981014101;61;31/08/2021;PACIENTE ESPECIFICO
78;1E1032981014101;61;7/12/2021;PACIENTE ESPECIFICO
79;1E1032981014101;61;6/09/2020;PACIENTE ESPECIFICO
80;1E1032981014101;61;11/06/2022;PACIENTE ESPECIFICO
81;1E1032981014101;61;29/12/2020;PACIENTE ESPECIFICO
82;1E1032981014100;61;12/08/2020;PACIENTE ESPECIFICO
83;1E1032981014100;61;8/01/2021;PACIENTE ESPECIFICO
84;1E1032981014100;61;23/09/2021;PACIENTE ESPECIFICO
85;1E1032981014100;61;22/04/2020;PACIENTE ESPECIFICO
86;1E1032981014100;61;24/04/2022;PACIENTE ESPECIFICO
87;1E1032981014100;61;27/11/2021;PACIENTE ESPECIFICO
88;1E1032981014100;61;24/06/2022;PACIENTE ESPECIFICO
89;1E1032981014100;61;7/02/2020;PACIENTE ESPECIFICO
90;1E1032981014100;61;18/09/2022;PACIENTE ESPECIFICO
91;1E1032981014100;61;12/05/2020;PACIENTE ESPECIFICO
92;1E1032981014100;61;6/02/2020;PACIENTE ESPECIFICO
93;1C1029821000100;128;20/05/2020;PACIENTE ESPECIFICO
94;1E1001601002100;132;13/07/2022;PACIENTE ESPECIFICO
95;1I1030991006100;127;1/02/2022;PACIENTE ESPECIFICO
96;1I1030991006100;127;30/12/2022;PACIENTE ESPECIFICO
97;2E1032451000100;87;22/11/2020;PACIENTE ESPECIFICO
98;1I1034601000101;13;14/02/2021;PACIENTE ESPECIFICO
99;1C1029821000100;128;14/03/2021;PACIENTE ESPECIFICO
100;2E1037771000100;132;18/06/2020;MAS DE UN PACIENTE
101;1E1001601002100;132;19/08/2020;MAS DE UN PACIENTE
102;1M1023741008100;8;24/04/2020;MAS DE UN PACIENTE
103;1M1017421001100;149;2/03/2022;MAS DE UN PACIENTE
104;1H1039131001100;118;26/02/2021;MAS DE UN PACIENTE
105;1A1000141000100;13;12/11/2021;MAS DE UN PACIENTE
106;1A1001711000100;13;21/04/2020;MAS DE UN PACIENTE
107;1G1036161001100;155;29/09/2021;MAS DE UN PACIENTE
108;1A1000141000100;133;1/05/2020;MAS DE UN PACIENTE
109;1B1000571012100;157;13/11/2020;MAS DE UN PACIENTE
110;1P1012181004100;64;2/02/2022;MAS DE UN PACIENTE
111;1A1001711000100;13;12/09/2022;MAS DE UN PACIENTE
112;1A1000141000100;13;28/11/2022;MAS DE UN PACIENTE
113;1I1035001000101;87;25/03/2021;MAS DE UN PACIENTE
114;1V1030561000100;13;17/03/2021;MAS DE UN PACIENTE
115;1N1024161000103;64;23/09/2022;MAS DE UN PACIENTE
116;1A1001711000100;13;22/12/2022;MAS DE UN PACIENTE
117;1A1000141000100;13;24/11/2020;MAS DE UN PACIENTE
118;1F1002391001100;65;16/05/2021;MAS DE UN PACIENTE
119;1I1035001000101;87;14/10/2021;MAS DE UN PACIENTE
120;1M1000831000100;154;14/07/2020;MAS DE UN PACIENTE
121;1M1033371000100;118;31/03/2022;MAS DE UN PACIENTE
122;1M1033371000100;118;3/01/2021;MAS DE UN PACIENTE
123;1I1030991005100;100;21/07/2020;MAS DE UN PACIENTE
124;1I1034601000101;13;2/11/2020;MAS DE UN PACIENTE
125;1C1006141000100;44;12/05/2021;MAS DE UN PACIENTE
126;1U1003271000100;44;6/11/2022;MAS DE UN PACIENTE
127;1U1003271000100;92;16/11/2020;MAS DE UN PACIENTE
128;1F1002641001100;28;25/05/2021;MAS DE UN PACIENTE
129;1F1002641001100;28;10/12/2022;MAS DE UN PACIENTE
130;1F1002641001100;28;30/03/2020;MAS DE UN PACIENTE
131;1F1002641001100;28;23/10/2022;MAS DE UN PACIENTE
132;2E1032451000100;87;27/11/2022;MAS DE UN PACIENTE
133;1R1002341000100;13;24/10/2021;MAS DE UN PACIENTE
134;1C1029821000100;128;17/11/2020;MAS DE UN PACIENTE
135;1T1039731000100;62;9/07/2020;MAS DE UN PACIENTE
136;1A1000141000100;133;25/10/2020;MAS DE UN PACIENTE
137;1L1003331003100;64;17/04/2021;MAS DE UN PACIENTE
138;1A1000141000100;13;29/12/2022;MAS DE UN PACIENTE
139;2E1032451000100;87;16/01/2020;MAS DE UN PACIENTE
140;1D1000031003100;156;3/08/2022;MAS DE UN PACIENTE
141;2E1032451000100;87;25/09/2022;MAS DE UN PACIENTE
142;1L1003331000100;64;20/08/2020;MAS DE UN PACIENTE
143;1D1000031004100;76;5/06/2021;MAS DE UN PACIENTE
144;1C1029821000100;128;9/11/2022;MAS DE UN PACIENTE
145;1A1000141000100;133;26/05/2021;MAS DE UN PACIENTE
146;1L1001621001101;61;18/09/2020;MAS DE UN PACIENTE
147;1T1033161002100;8;15/02/2022;MAS DE UN PACIENTE
148;1P1004431010100;127;1/02/2021;MAS DE UN PACIENTE
149;1P1004431010100;127;14/08/2022;MAS DE UN PACIENTE
150;1P1004431010100;127;6/04/2020;MAS DE UN PACIENTE
151;1A1000141000100;13;9/04/2022;MAS DE UN PACIENTE
152;1A1001701000100;13;31/07/2022;MAS DE UN PACIENTE
153;1F1002471000100;39;16/05/2022;MAS DE UN PACIENTE
154;2E1037771000100;132;20/09/2020;MAS DE UN PACIENTE
155;1H1027911004100;100;1/03/2021;MAS DE UN PACIENTE
156;1T1000761000101;81;19/07/2020;MAS DE UN PACIENTE
157;1M1000831000100;87;8/08/2020;MAS DE UN PACIENTE
158;1C1000151003100;25;13/08/2021;MAS DE UN PACIENTE
159;1P1012181000100;95;4/02/2021;MAS DE UN PACIENTE
160;1E1005681009100;81;4/11/2022;MAS DE UN PACIENTE
161;1I1030991006100;127;19/07/2021;MAS DE UN PACIENTE
162;2E1032451000100;87;7/04/2021;MAS DE UN PACIENTE
163;1T1001911004100;81;4/01/2021;MAS DE UN PACIENTE
164;1E1001601002100;132;25/04/2020;MAS DE UN PACIENTE
165;2E1032451000100;87;28/04/2021;MAS DE UN PACIENTE
166;1L1040701000100;144;20/03/2020;MAS DE UN PACIENTE
167;1P1012181005100;132;15/06/2021;MAS DE UN PACIENTE
168;1L1040701000100;144;4/06/2020;MAS DE UN PACIENTE
169;1H1027911002100;88;28/01/2020;MAS DE UN PACIENTE
170;1M1017221001100;100;30/05/2021;MAS DE UN PACIENTE
171;1S1037401000100;61;3/03/2021;MAS DE UN PACIENTE
172;1E1023551003100;64;27/06/2021;MAS DE UN PACIENTE
173;1A1000141000100;13;31/01/2022;MAS DE UN PACIENTE
174;1A1001711000100;13;26/11/2021;MAS DE UN PACIENTE
175;1A1001611000100;64;13/03/2022;MAS DE UN PACIENTE
176;1A1000141000100;13;22/03/2021;MAS DE UN PACIENTE
177;1I1035001000101;87;2/05/2020;MAS DE UN PACIENTE
178;1I1030991005100;100;13/07/2022;MAS DE UN PACIENTE
179;1M1008551000100;132;23/11/2022;MAS DE UN PACIENTE
180;1M1006441000100;132;26/12/2021;MAS DE UN PACIENTE
181;1A1000141000100;13;24/11/2021;MAS DE UN PACIENTE
182;1A1001711000100;13;31/05/2020;MAS DE UN PACIENTE
183;1I1030991009100;37;4/11/2022;MAS DE UN PACIENTE
184;2B1024281001101;74;6/04/2021;MAS DE UN PACIENTE
185;1A1000141000100;13;8/08/2020;MAS DE UN PACIENTE
186;1A1001711000100;13;11/07/2020;MAS DE UN PACIENTE
187;1A1000141000100;133;5/01/2021;MAS DE UN PACIENTE
188;1C1023461007100;25;12/12/2022;MAS DE UN PACIENTE
189;1T1028021000100;64;14/01/2022;MAS DE UN PACIENTE
190;1A1000141000100;13;17/12/2021;MAS DE UN PACIENTE
191;1A1001711000100;13;27/03/2020;MAS DE UN PACIENTE
192;1H1027911002100;88;29/07/2022;MAS DE UN PACIENTE
193;1M1031251005100;157;10/11/2020;MAS DE UN PACIENTE
194;1M1006441000100;154;1/09/2022;MAS DE UN PACIENTE
195;2E1032451000100;87;3/05/2020;MAS DE UN PACIENTE
196;1M1017221001100;100;28/10/2020;MAS DE UN PACIENTE
197;1M1017221001100;100;10/03/2021;MAS DE UN PACIENTE
198;1H1029791001100;85;29/08/2020;MAS DE UN PACIENTE
199;1E1032401003100;64;13/11/2020;MAS DE UN PACIENTE
200;1P1027701000100;62;27/11/2020;MAS DE UN PACIENTE
201;2B1024281005100;41;2/03/2022;MAS DE UN PACIENTE
202;2B1024281005100;41;30/03/2022;MAS DE UN PACIENTE
203;2B1024281005100;41;25/06/2022;MAS DE UN PACIENTE
204;1P1000021004100;8;30/09/2022;MAS DE UN PACIENTE
205;1M1017221001100;100;2/11/2022;MAS DE UN PACIENTE
206;1A1005551006100;81;2/02/2020;MAS DE UN PACIENTE
207;2E1032451000100;87;23/07/2022;MAS DE UN PACIENTE
208;1M1017421001100;149;23/02/2022;MAS DE UN PACIENTE
209;1M1017421001100;149;11/11/2022;MAS DE UN PACIENTE
210;1A1000141000100;133;20/04/2022;MAS DE UN PACIENTE
211;1A1001701000100;133;2/11/2022;MAS DE UN PACIENTE
212;2E1032451000100;87;21/01/2021;MAS DE UN PACIENTE
213;1S1008321000100;64;19/10/2021;MAS DE UN PACIENTE
214;2E1037771000100;132;29/12/2020;MAS DE UN PACIENTE
215;2E1037771000100;132;8/10/2022;MAS DE UN PACIENTE
216;2E1032451000100;87;28/01/2022;MAS DE UN PACIENTE
217;1I1034601000101;13;26/09/2022;MAS DE UN PACIENTE
218;1N1024161000102;64;6/11/2020;MAS DE UN PACIENTE
219;1I1035001000101;87;12/07/2022;MAS DE UN PACIENTE
220;1I1034601000101;133;26/02/2020;MAS DE UN PACIENTE
221;1P1012181005100;132;16/01/2020;MAS DE UN PACIENTE
222;2A1004651001100;102;26/03/2021;MAS DE UN PACIENTE
223;2A1004661002100;102;7/02/2022;MAS DE UN PACIENTE
224;2A1004651001100;102;16/08/2022;MAS DE UN PACIENTE
225;1M1031251009100;25;14/10/2020;MAS DE UN PACIENTE
226;1M1031251009100;25;29/07/2021;MAS DE UN PACIENTE
227;1M1017221001100;100;30/07/2022;MAS DE UN PACIENTE
228;1B1001101000101;150;4/12/2020;MAS DE UN PACIENTE
229;1B1001101000101;150;19/09/2022;MAS DE UN PACIENTE
230;1F1001691003100;64;14/07/2020;MAS DE UN PACIENTE
231;1H1039131002100;88;8/07/2021;MAS DE UN PACIENTE
232;1A1003951008100;100;2/08/2022;MAS DE UN PACIENTE
233;1E1032401000100;64;17/03/2021;MAS DE UN PACIENTE
234;1H1039131001100;118;30/06/2020;MAS DE UN PACIENTE
235;1H1027911004100;100;16/10/2020;MAS DE UN PACIENTE
236;1S1040361000101;13;1/12/2022;MAS DE UN PACIENTE
237;1A1003951004100;149;8/03/2021;MAS DE UN PACIENTE
238;1C1028221000100;64;26/06/2021;MAS DE UN PACIENTE
239;1V1030561000100;13;13/11/2021;MAS DE UN PACIENTE
240;1T1001911000100;131;1/08/2020;MAS DE UN PACIENTE
241;1I1035001000100;132;15/10/2022;MAS DE UN PACIENTE
242;1T1001911004100;76;11/08/2022;MAS DE UN PACIENTE
243;1T1001161004100;149;11/11/2022;MAS DE UN PACIENTE
244;1T1023951000100;148;9/01/2021;MAS DE UN PACIENTE
245;1T1023261001100;148;5/11/2021;MAS DE UN PACIENTE
246;1S1011611000100;94;28/09/2020;MAS DE UN PACIENTE
247;1S1011611000100;94;3/07/2021;MAS DE UN PACIENTE
248;1G1035871000100;64;29/03/2020;MAS DE UN PACIENTE
249;1M1000831000100;87;21/03/2022;MAS DE UN PACIENTE
250;1M1000831000100;87;19/02/2021;MAS DE UN PACIENTE
251;1C1039371000100;155;8/07/2022;MAS DE UN PACIENTE
252;1E1032981013100;61;1/02/2022;MAS DE UN PACIENTE
253;1E1032981013100;61;1/12/2022;MAS DE UN PACIENTE
254;1E1032981012100;61;26/09/2020;MAS DE UN PACIENTE
255;1E1032981012100;61;5/09/2020;MAS DE UN PACIENTE
256;1E1032981011100;61;8/03/2022;MAS DE UN PACIENTE
257;1E1032981011100;61;5/03/2020;MAS DE UN PACIENTE
258;1E1032981011100;61;9/09/2020;MAS DE UN PACIENTE
259;1E1032981010100;61;9/07/2020;MAS DE UN PACIENTE
260;1T1001911000100;156;15/08/2020;MAS DE UN PACIENTE
261;2E1032451000100;87;4/10/2020;MAS DE UN PACIENTE
262;2E1032451000100;132;15/04/2022;MAS DE UN PACIENTE
263;1T1000761000103;95;29/10/2020;MAS DE UN PACIENTE
264;2E1032451000100;87;18/01/2021;MAS DE UN PACIENTE
265;2I1034651000100;87;21/08/2022;MAS DE UN PACIENTE
266;1E1032401002101;64;27/08/2020;MAS DE UN PACIENTE
267;1I1030991008100;149;21/12/2021;MAS DE UN PACIENTE
268;1E1001601002100;132;18/02/2020;MAS DE UN PACIENTE
269;2E1032451000100;87;23/03/2020;MAS DE UN PACIENTE
270;1P1039971001100;100;1/11/2022;MAS DE UN PACIENTE
271;1L1014091000100;64;21/06/2021;MAS DE UN PACIENTE
272;1I1034601000101;13;12/07/2021;MAS DE UN PACIENTE
273;1A1030051000100;157;10/01/2022;MAS DE UN PACIENTE
274;1P1039971000100;129;27/05/2022;MAS DE UN PACIENTE
275;1V1030561000100;13;19/03/2020;MAS DE UN PACIENTE
276;1S1007641002100;132;25/04/2021;MAS DE UN PACIENTE
277;1T1023951009100;61;5/11/2022;MAS DE UN PACIENTE
278;2A1005801000100;152;18/02/2020;MAS DE UN PACIENTE
279;2A1005811000100;152;5/12/2022;MAS DE UN PACIENTE
280;2A1005801000100;152;10/01/2021;MAS DE UN PACIENTE
281;2A1005811000100;152;31/12/2021;MAS DE UN PACIENTE
282;2A1005801000100;152;15/07/2020;MAS DE UN PACIENTE
283;2A1005811000100;152;12/02/2022;MAS DE UN PACIENTE
284;1O1020371004100;58;16/03/2020;MAS DE UN PACIENTE
285;1O1020371004100;58;6/12/2021;MAS DE UN PACIENTE
286;1B1037961001100;91;18/05/2020;MAS DE UN PACIENTE
287;1E1032401002101;64;1/10/2022;MAS DE UN PACIENTE
288;1B1024501002100;118;27/05/2020;MAS DE UN PACIENTE
289;1A1000141000100;13;11/04/2021;MAS DE UN PACIENTE
290;1A1001711000100;13;25/10/2021;MAS DE UN PACIENTE
291;1C1039371000100;155;28/11/2021;MAS DE UN PACIENTE
292;1T1023261005100;3;31/10/2022;MAS DE UN PACIENTE
293;1M1000831000100;87;20/01/2021;MAS DE UN PACIENTE
294;1E1032981008100;61;31/07/2022;MAS DE UN PACIENTE
295;1E1032981008100;61;5/04/2021;MAS DE UN PACIENTE
296;1E1032981007100;61;19/08/2022;MAS DE UN PACIENTE
297;1E1032981007100;61;24/10/2020;MAS DE UN PACIENTE
298;1E1032981009100;61;4/07/2020;MAS DE UN PACIENTE
299;1A1000281000101;68;2/07/2020;MAS DE UN PACIENTE
300;1G1035871000100;61;19/06/2022;MAS DE UN PACIENTE
301;1N1022891000101;17;9/10/2021;MAS DE UN PACIENTE
302;1A1003951002100;61;10/05/2021;MAS DE UN PACIENTE
303;1A1003951002100;61;23/09/2022;MAS DE UN PACIENTE
304;1A1005551006100;61;25/04/2022;MAS DE UN PACIENTE
305;1A1005551006100;61;24/11/2022;MAS DE UN PACIENTE
306;1U1003171000100;132;27/09/2020;MAS DE UN PACIENTE
307;1A1005551005100;90;28/09/2021;MAS DE UN PACIENTE
308;1I1030991006100;160;16/09/2022;MAS DE UN PACIENTE
309;1O1038321000100;128;19/06/2022;MAS DE UN PACIENTE
310;1A1000141000100;13;12/05/2022;MAS DE UN PACIENTE
311;1A1001711000100;13;26/05/2020;MAS DE UN PACIENTE
312;1U1003271000100;95;13/09/2021;MAS DE UN PACIENTE
313;1C1029821000100;132;15/06/2020;MAS DE UN PACIENTE
314;1M1033371000100;118;18/09/2021;MAS DE UN PACIENTE
315;1M1033371000100;118;12/12/2022;MAS DE UN PACIENTE
316;1L1018031002101;118;27/11/2022;MAS DE UN PACIENTE
317;1L1018031002101;118;28/04/2020;MAS DE UN PACIENTE
318;1L1018031002101;118;31/10/2020;MAS DE UN PACIENTE
319;1L1018031002101;118;31/03/2022;MAS DE UN PACIENTE
320;1L1018031002100;118;14/12/2022;MAS DE UN PACIENTE
321;1L1018031002100;118;24/09/2022;MAS DE UN PACIENTE
322;1L1018031002100;118;24/03/2020;MAS DE UN PACIENTE
323;1L1018031002100;118;4/07/2022;MAS DE UN PACIENTE
324;1L1018031002100;118;27/10/2022;MAS DE UN PACIENTE
325;1L1018031002100;118;11/04/2022;MAS DE UN PACIENTE
326;1L1018031002100;118;27/11/2021;MAS DE UN PACIENTE
327;1L1018031002100;118;29/03/2022;MAS DE UN PACIENTE
328;1L1018031002100;118;9/06/2021;MAS DE UN PACIENTE
329;1L1005651000100;118;25/03/2022;MAS DE UN PACIENTE
330;1L1005651000100;118;20/07/2022;MAS DE UN PACIENTE
331;1E1005681003100;118;6/02/2020;MAS DE UN PACIENTE
332;2E1032451000100;87;8/09/2022;MAS DE UN PACIENTE
333;2A1029861000102;78;5/11/2020;MAS DE UN PACIENTE
334;2A1030431000102;78;28/05/2021;MAS DE UN PACIENTE
335;2A1030431000102;78;4/07/2020;MAS DE UN PACIENTE
336;2A1030431000102;78;28/12/2020;MAS DE UN PACIENTE
337;2A1029861000102;78;23/08/2021;MAS DE UN PACIENTE
338;2A1029861000102;78;29/04/2022;MAS DE UN PACIENTE
339;2A1029861000102;78;10/12/2021;MAS DE UN PACIENTE
340;1I1033751004100;20;8/08/2020;MAS DE UN PACIENTE
341;2I1034651000100;87;21/05/2022;MAS DE UN PACIENTE
342;1B1033101000100;100;20/06/2020;MAS DE UN PACIENTE
343;1I1030991005100;100;18/11/2021;MAS DE UN PACIENTE
344;2E1037771000100;87;12/01/2022;MAS DE UN PACIENTE
345;1C1029821000100;128;30/01/2020;MAS DE UN PACIENTE
346;1M1039651000103;138;16/06/2020;MAS DE UN PACIENTE
347;1D1000031004100;76;4/04/2021;MAS DE UN PACIENTE
348;1A1005551005100;8;30/08/2022;MAS DE UN PACIENTE
349;2E1032451000100;87;15/11/2022;MAS DE UN PACIENTE
350;1M1019571003100;13;2/03/2021;MAS DE UN PACIENTE
351;1A1000141000100;13;7/11/2022;MAS DE UN PACIENTE
352;1A1001711000100;13;4/10/2022;MAS DE UN PACIENTE
353;1A1000141000100;13;17/03/2021;MAS DE UN PACIENTE
354;1M1000341001100;157;15/10/2021;MAS DE UN PACIENTE
355;1M1000341001100;157;26/10/2020;MAS DE UN PACIENTE
356;1M1000831000100;87;26/02/2020;MAS DE UN PACIENTE
357;1H1007141000100;152;5/10/2020;MAS DE UN PACIENTE
358;1B1038211000100;60;29/06/2020;MAS DE UN PACIENTE
359;1B1038211000100;60;1/10/2021;MAS DE UN PACIENTE
360;1A1001711000100;13;10/11/2021;MAS DE UN PACIENTE
361;1A1000141000100;13;16/03/2021;MAS DE UN PACIENTE
362;2E1032451000100;87;25/02/2021;MAS DE UN PACIENTE
363;1E1029551000101;134;18/10/2020;MAS DE UN PACIENTE
364;1M1019571004100;150;16/01/2021;MAS DE UN PACIENTE
365;1I1030991006100;127;31/08/2022;MAS DE UN PACIENTE
366;1C1029821000100;128;29/06/2020;MAS DE UN PACIENTE
367;1A1000141000100;13;28/11/2021;MAS DE UN PACIENTE
368;1A1001701000100;13;8/07/2020;MAS DE UN PACIENTE
369;1S1015871002100;129;26/02/2022;MAS DE UN PACIENTE
370;1L1029621000100;64;10/08/2022;MAS DE UN PACIENTE
371;1L1003331000100;64;9/03/2022;MAS DE UN PACIENTE
372;1F1002641001100;28;17/01/2021;MAS DE UN PACIENTE
373;1F1002641001100;28;26/03/2021;MAS DE UN PACIENTE
374;1F1002641001100;28;28/08/2021;MAS DE UN PACIENTE
375;1F1002641001100;28;13/08/2021;MAS DE UN PACIENTE
376;1P1004431010100;127;16/08/2020;MAS DE UN PACIENTE
377;1T1001911000100;146;20/12/2022;MAS DE UN PACIENTE
378;1G1036161001100;155;20/08/2021;MAS DE UN PACIENTE
379;1M1039651000102;138;31/05/2021;MAS DE UN PACIENTE
380;1M1039651000102;138;10/08/2022;MAS DE UN PACIENTE
381;1M1039651000101;138;16/07/2022;MAS DE UN PACIENTE
382;1E1029551000101;134;25/04/2022;MAS DE UN PACIENTE
383;1E1029551000102;134;27/11/2021;MAS DE UN PACIENTE
384;1I1033801001100;13;22/01/2021;MAS DE UN PACIENTE
385;1S1000731000100;13;20/05/2022;MAS DE UN PACIENTE
386;1E1001601002100;132;5/05/2022;MAS DE UN PACIENTE
387;1M1000831000100;87;7/05/2021;MAS DE UN PACIENTE
388;2B1024281003100;142;7/02/2020;MAS DE UN PACIENTE
389;2B1024281003100;142;1/11/2022;MAS DE UN PACIENTE
390;1S1025981001100;129;23/10/2021;MAS DE UN PACIENTE
391;1S1026001000100;94;31/08/2022;MAS DE UN PACIENTE
392;1S1026001000100;94;11/05/2021;MAS DE UN PACIENTE
393;1T1023951004100;3;21/11/2021;MAS DE UN PACIENTE
394;1A1005551005100;66;26/12/2020;MAS DE UN PACIENTE
395;1A1005551005100;66;6/01/2021;MAS DE UN PACIENTE
396;1A1003951006100;149;25/11/2020;MAS DE UN PACIENTE
397;2E1032451000100;87;11/02/2020;MAS DE UN PACIENTE
398;1M1039651000100;138;14/11/2020;MAS DE UN PACIENTE
399;2E1032451000100;87;17/04/2022;MAS DE UN PACIENTE
400;1I1030991006100;127;27/03/2021;MAS DE UN PACIENTE
401;1A1003951008100;100;17/01/2022;MAS DE UN PACIENTE
402;1E1001601002100;132;4/10/2022;MAS DE UN PACIENTE
403;1F1001691000100;64;9/06/2021;MAS DE UN PACIENTE
404;1S1011101000100;128;5/12/2022;MAS DE UN PACIENTE
405;1E1001601002100;132;26/07/2022;MAS DE UN PACIENTE
406;1E1029551000102;134;15/04/2021;MAS DE UN PACIENTE
407;1E1029551000101;134;18/05/2020;MAS DE UN PACIENTE
408;1E1001601002100;132;27/10/2020;MAS DE UN PACIENTE
409;1A1000141000100;133;30/01/2020;MAS DE UN PACIENTE
410;1A1000141000100;133;24/11/2021;MAS DE UN PACIENTE
411;1G1035871000100;132;20/09/2022;MAS DE UN PACIENTE
412;1E1001601002100;132;24/09/2020;MAS DE UN PACIENTE
413;1A1001701000100;13;23/09/2022;MAS DE UN PACIENTE
414;1A1000141000100;13;11/10/2020;MAS DE UN PACIENTE
415;1C1006341000100;40;29/02/2020;MAS DE UN PACIENTE
416;1C1006341000100;40;18/05/2022;MAS DE UN PACIENTE
417;1C1006341000100;40;26/04/2021;MAS DE UN PACIENTE
418;1C1006341000100;40;31/05/2022;MAS DE UN PACIENTE
419;1C1006341000100;40;26/08/2022;MAS DE UN PACIENTE
